DIM\Power, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 
149, 0.33324, 0.407656, 0.463147, 0.506727, 0.542155, 0.571684, 0.596769, 0.618403, 0.637291, 0.65395, 
150, 0.333339, 0.407762, 0.46326, 0.506847, 0.542282, 0.571819, 0.596912, 0.618555, 0.637452, 0.654118, 
151, 0.333326, 0.407791, 0.46331, 0.506903, 0.542334, 0.571863, 0.596947, 0.618581, 0.637468, 0.654128, 
152, 0.333275, 0.407724, 0.46323, 0.506818, 0.542251, 0.571787, 0.59688, 0.618524, 0.637423, 0.654093, 
153, 0.333358, 0.407784, 0.463281, 0.506866, 0.542299, 0.571835, 0.596932, 0.61858, 0.637483, 0.654159, 
154, 0.333234, 0.407674, 0.463191, 0.506791, 0.542234, 0.571775, 0.596871, 0.618515, 0.637412, 0.654081, 
155, 0.333367, 0.407821, 0.463334, 0.506929, 0.542369, 0.57191, 0.597008, 0.618656, 0.637557, 0.65423, 
156, 0.33336, 0.407834, 0.463358, 0.506961, 0.542405, 0.571947, 0.597044, 0.61869, 0.637589, 0.65426, 
157, 0.333391, 0.407845, 0.463351, 0.506939, 0.542374, 0.57191, 0.597006, 0.618653, 0.637556, 0.654232, 
158, 0.333418, 0.407861, 0.463359, 0.50694, 0.542369, 0.571902, 0.596996, 0.618644, 0.637549, 0.654227, 
159, 0.333384, 0.407853, 0.463378, 0.506985, 0.542435, 0.571986, 0.597093, 0.618749, 0.63766, 0.654341, 
160, 0.333415, 0.407847, 0.463351, 0.506946, 0.542392, 0.571942, 0.597051, 0.61871, 0.637625, 0.654312, 
161, 0.333336, 0.407841, 0.463395, 0.50702, 0.542484, 0.572044, 0.597158, 0.618822, 0.637739, 0.654427, 
162, 0.333334, 0.407801, 0.463331, 0.50694, 0.542392, 0.571944, 0.597053, 0.618712, 0.637626, 0.654313, 
163, 0.333291, 0.407719, 0.463217, 0.506812, 0.542262, 0.57182, 0.596938, 0.618609, 0.637535, 0.654233, 
164, 0.33327, 0.407731, 0.463249, 0.506849, 0.542295, 0.571844, 0.596952, 0.618613, 0.63753, 0.65422, 
165, 0.333361, 0.407832, 0.463363, 0.506974, 0.542429, 0.571984, 0.597097, 0.61876, 0.637679, 0.654371, 
166, 0.333269, 0.407737, 0.463258, 0.506865, 0.542321, 0.57188, 0.597, 0.618672, 0.637601, 0.654303, 
167, 0.333169, 0.407648, 0.463203, 0.506844, 0.54233, 0.571916, 0.597057, 0.618747, 0.63769, 0.654403, 
168, 0.333286, 0.40779, 0.463344, 0.506975, 0.542448, 0.572019, 0.597146, 0.618823, 0.637756, 0.654461, 
169, 0.333273, 0.407777, 0.463332, 0.506965, 0.542442, 0.572018, 0.597151, 0.618834, 0.637771, 0.654479, 
170, 0.333344, 0.407848, 0.463395, 0.507018, 0.542483, 0.57205, 0.597174, 0.618849, 0.637781, 0.654485, 
171, 0.333303, 0.40783, 0.46339, 0.50702, 0.542489, 0.572056, 0.59718, 0.618854, 0.637785, 0.654488, 
172, 0.333457, 0.407944, 0.46348, 0.507097, 0.542559, 0.572124, 0.597248, 0.618925, 0.637858, 0.654565, 
173, 0.333391, 0.407877, 0.463421, 0.507047, 0.542518, 0.572092, 0.597225, 0.618909, 0.637849, 0.654563, 
174, 0.333362, 0.407862, 0.46341, 0.507038, 0.542512, 0.572089, 0.597225, 0.618912, 0.637855, 0.654571, 
175, 0.333195, 0.407702, 0.463267, 0.506914, 0.542406, 0.572, 0.59715, 0.61885, 0.637805, 0.65453, 
176, 0.333391, 0.407906, 0.463473, 0.507116, 0.5426, 0.572183, 0.597323, 0.619014, 0.63796, 0.654679, 
177, 0.333232, 0.407773, 0.463356, 0.50701, 0.542504, 0.572099, 0.59725, 0.618953, 0.637911, 0.654642, 
178, 0.333335, 0.407836, 0.463395, 0.507034, 0.542519, 0.572105, 0.59725, 0.618946, 0.637898, 0.654623, 
179, 0.333353, 0.407869, 0.46344, 0.507091, 0.542588, 0.572184, 0.597338, 0.619042, 0.638, 0.65473, 
180, 0.33334, 0.407859, 0.463431, 0.507079, 0.542569, 0.572158, 0.597304, 0.619002, 0.637956, 0.654683, 
181, 0.333329, 0.407866, 0.463457, 0.507124, 0.542631, 0.572236, 0.597395, 0.619102, 0.638062, 0.654794, 
182, 0.333317, 0.407822, 0.463386, 0.50703, 0.542518, 0.572105, 0.597251, 0.618949, 0.637903, 0.654632, 
183, 0.333361, 0.407892, 0.463468, 0.507122, 0.542621, 0.572222, 0.597381, 0.619091, 0.638057, 0.654795, 
184, 0.333284, 0.407796, 0.463369, 0.507024, 0.542526, 0.572128, 0.597289, 0.619001, 0.637969, 0.654709, 
185, 0.333246, 0.407763, 0.463347, 0.507012, 0.542521, 0.572129, 0.597295, 0.619011, 0.637983, 0.654728, 
186, 0.333268, 0.407807, 0.463393, 0.507054, 0.542556, 0.572158, 0.597318, 0.619029, 0.637996, 0.654737, 
187, 0.333363, 0.407885, 0.463461, 0.507116, 0.542617, 0.572219, 0.597381, 0.619094, 0.638064, 0.654807, 
188, 0.333271, 0.407818, 0.463406, 0.50707, 0.542576, 0.572183, 0.597348, 0.619065, 0.638037, 0.654782, 
